,team_id,elo_i
0,ORL,1313.2317
1,IND,1583.5721
2,LAL,1511.02
3,LAC,1586.5884
4,CHI,1519.9124
5,MIA,1691.8896
6,BRK,1548.4365
7,CLE,1369.2823
8,DAL,1521.8522
9,ATL,1484.9949
10,WAS,1462.0291
11,DET,1405.6205
12,GSW,1562.4785
13,HOU,1556.411
14,CHO,1352.4205
15,MIN,1471.4886
16,NOP,1427.6257
17,NYK,1579.2007
18,MIL,1445.7207
19,PHI,1459.6904
20,POR,1429.8431
21,PHO,1390.5642
22,SAC,1433.7286
23,DEN,1614.5847
24,SAS,1660.6224
25,MEM,1619.2012
26,TOR,1483.9835
27,BOS,1484.9615
28,UTA,1521.2413
29,OKC,1639.3633
